パソコンショップアーク,パソコンSHOPアーク
フォション,FAUCHON
キオスク,KIOSK,キヨスク
ブリックハウス,brick house
マクドナルド,Macdonald
サブウェイ,SUBWAY
ローソン,LAWSON
